fuzz_cases,coverage_reached,mutation_aggressiveness
329, 46.964285714285715, 25
330, 47.32142857142857, 25
344, 47.67857142857143, 25
360, 48.392857142857146, 25
365, 49.107142857142854, 25
369, 49.464285714285715, 25
384, 49.82142857142857, 25
396, 50, 25
399, 50.71428571428571, 25
413, 51.24999999999999, 25
426, 51.60714285714286, 25
430, 51.78571428571429, 25
433, 51.964285714285715, 25
441, 52.142857142857146, 25
442, 52.32142857142858, 25
476, 52.5, 25
478, 52.67857142857143, 25
486, 52.85714285714286, 25
504, 53.035714285714285, 25
535, 53.214285714285715, 25
538, 53.39285714285714, 25
556, 53.57142857142857, 25
557, 53.75, 25
591, 53.92857142857142, 25
600, 55.00000000000001, 25
614, 55.17857142857143, 25
638, 55.35714285714286, 25
644, 55.714285714285715, 25
655, 56.25, 25
671, 56.42857142857143, 25
742, 56.607142857142854, 25
743, 56.785714285714285, 25
747, 57.85714285714286, 25
778, 58.03571428571429, 25
814, 61.07142857142858, 25
825, 61.25000000000001, 25
827, 61.42857142857143, 25
828, 61.78571428571429, 25
875, 61.964285714285715, 25
901, 62.142857142857146, 25
933, 63.21428571428571, 25
966, 63.57142857142857, 25
982, 63.74999999999999, 25
1029, 63.92857142857142, 25
1033, 64.10714285714286, 25
1035, 64.28571428571429, 25
1062, 64.64285714285715, 25
1156, 64.82142857142857, 25
1161, 65.17857142857143, 25
1206, 65.35714285714286, 25
1288, 65.53571428571429, 25
1297, 65.71428571428571, 25
1304, 66.07142857142857, 25
1307, 66.25, 25
1332, 66.42857142857143, 25
1333, 66.60714285714285, 25
1410, 66.78571428571428, 25
1416, 66.96428571428571, 25
1431, 67.14285714285714, 25
1474, 67.5, 25
1489, 67.67857142857143, 25
1490, 68.39285714285714, 25
1494, 68.57142857142857, 25
1650, 68.92857142857143, 25
1682, 69.10714285714286, 25
1686, 69.28571428571428, 25
1741, 69.82142857142857, 25
1774, 70, 25
1792, 70.17857142857142, 25
1833, 70.35714285714286, 25
1857, 70.53571428571429, 25
1884, 70.71428571428572, 25
1894, 71.07142857142857, 25
1912, 71.25, 25
1999, 71.42857142857143, 25
2036, 72.32142857142857, 25
2124, 72.67857142857143, 25
2182, 72.85714285714285, 25
2259, 73.03571428571428, 25
2482, 73.21428571428571, 25
2548, 73.39285714285714, 25
2560, 73.57142857142858, 25
2598, 73.75, 25
2625, 74.10714285714286, 25
2649, 74.28571428571429, 25
2799, 74.46428571428572, 25
2814, 74.64285714285714, 25
3018, 74.82142857142857, 25
3087, 75, 25
3155, 75.17857142857143, 25
3494, 75.35714285714286, 25
3559, 75.53571428571428, 25
3618, 75.89285714285714, 25
3708, 76.78571428571429, 25
3746, 76.96428571428572, 25
3841, 77.14285714285715, 25
4024, 77.32142857142857, 25
4427, 77.67857142857143, 25
4560, 77.85714285714286, 25
